,longitude,latitude,housing_median_age,population,households,median_income,median_house_value,ocean_proximity,avg_rooms_per_household,avg_bedrooms_per_household
0,-122.23,37.88,41.0,322.0,126.0,8.3252,452600.0,NEAR BAY,6.984126984126984,1.0238095238095237
1,-122.22,37.86,21.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,6.238137082601054,0.9718804920913884
2,-122.24,37.85,52.0,496.0,177.0,7.2574,352100.0,NEAR BAY,8.288135593220339,1.073446327683616
3,-122.25,37.85,52.0,558.0,219.0,5.6431,341300.0,NEAR BAY,5.8173515981735155,1.0730593607305936
4,-122.25,37.85,52.0,565.0,259.0,3.8462,342200.0,NEAR BAY,6.281853281853282,1.0810810810810811
5,-122.25,37.85,52.0,413.0,193.0,4.0368,269700.0,NEAR BAY,4.761658031088083,1.1036269430051813
6,-122.25,37.84,52.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,4.9319066147859925,0.9513618677042801
7,-122.25,37.84,52.0,1157.0,647.0,3.12,241400.0,NEAR BAY,4.797527047913447,1.061823802163833
8,-122.26,37.84,42.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,4.294117647058823,1.1176470588235294
9,-122.25,37.84,52.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,4.970588235294118,0.9901960784313726
10,-122.26,37.85,52.0,910.0,402.0,3.2031,281500.0,NEAR BAY,5.477611940298507,1.0796019900497513
11,-122.26,37.85,52.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,4.772479564032698,1.0245231607629428
12,-122.26,37.85,52.0,1098.0,468.0,3.075,213500.0,NEAR BAY,5.322649572649572,1.0128205128205128
13,-122.26,37.84,52.0,345.0,174.0,2.6736,191300.0,NEAR BAY,4.0,1.0977011494252873
14,-122.26,37.85,52.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,4.262903225806451,1.0096774193548388
15,-122.26,37.85,50.0,697.0,264.0,2.125,140000.0,NEAR BAY,4.242424242424242,1.071969696969697
16,-122.27,37.85,52.0,793.0,331.0,2.775,152500.0,NEAR BAY,5.9395770392749245,1.0483383685800605
17,-122.27,37.85,52.0,648.0,303.0,2.1202,155500.0,NEAR BAY,4.052805280528053,0.966996699669967
18,-122.26,37.84,50.0,990.0,419.0,1.9911,158700.0,NEAR BAY,5.343675417661098,1.0859188544152745
19,-122.27,37.84,52.0,690.0,275.0,2.6033,162900.0,NEAR BAY,5.465454545454546,1.0836363636363637
20,-122.27,37.85,40.0,409.0,166.0,1.3578,147500.0,NEAR BAY,4.524096385542169,1.108433734939759
21,-122.27,37.85,42.0,929.0,366.0,1.7135,159800.0,NEAR BAY,4.478142076502732,1.0027322404371584
22,-122.27,37.84,52.0,1015.0,478.0,1.725,113900.0,NEAR BAY,5.096234309623431,1.1317991631799162
23,-122.27,37.84,52.0,853.0,325.0,2.1806,99700.0,NEAR BAY,5.193846153846154,1.0369230769230768
24,-122.27,37.84,52.0,1006.0,422.0,2.6,132600.0,NEAR BAY,5.270142180094787,1.0355450236966826
25,-122.28,37.85,41.0,317.0,119.0,2.4038,107500.0,NEAR BAY,4.495798319327731,1.0336134453781514
26,-122.28,37.85,49.0,607.0,239.0,2.4597,93800.0,NEAR BAY,4.7280334728033475,1.0209205020920502
27,-122.28,37.85,52.0,1102.0,397.0,1.808,105500.0,NEAR BAY,4.7808564231738035,1.0604534005037782
28,-122.28,37.84,50.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,4.40169133192389,1.040169133192389
29,-122.28,37.84,52.0,395.0,155.0,1.6875,132000.0,NEAR BAY,4.703225806451613,1.032258064516129
30,-122.28,37.84,49.0,863.0,378.0,1.9274,122300.0,NEAR BAY,5.068783068783069,1.1825396825396826
31,-122.28,37.84,52.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,4.882086167800454,1.090702947845805
32,-122.27,37.84,48.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,5.737313432835821,1.2208955223880598
33,-122.27,37.83,49.0,754.0,329.0,1.375,104900.0,NEAR BAY,5.0303951367781155,1.1124620060790273
34,-122.27,37.83,51.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,4.972014925373134,1.0708955223880596
35,-122.27,37.83,49.0,570.0,264.0,1.4861,97200.0,NEAR BAY,4.6022727272727275,1.0681818181818181
